# Oracle Event Stream
# Format: t<event_index>: <event_type>(id=<obj_id>, size=<bytes>, site=<site_id>, thread=<thread_id>)
# Total events: 2012
# Allocations: 1006
# Frees: 1006

t613: alloc(id=747464370, size=24, site=122, thread=1283928880)
t617: free(id=747464370, size=24, site=122, thread=1283928880)
t618: alloc(id=1513712028, size=24, site=122, thread=1283928880)
t622: free(id=1513712028, size=24, site=122, thread=1283928880)
t623: alloc(id=1018547642, size=24, site=122, thread=1283928880)
t627: free(id=1018547642, size=24, site=122, thread=1283928880)
t628: alloc(id=1456208737, size=24, site=122, thread=1283928880)
t632: free(id=1456208737, size=24, site=122, thread=1283928880)
t633: alloc(id=288665596, size=24, site=122, thread=1283928880)
t637: free(id=288665596, size=24, site=122, thread=1283928880)
t638: alloc(id=13648335, size=24, site=122, thread=1283928880)
t642: free(id=13648335, size=24, site=122, thread=1283928880)
t643: alloc(id=312116338, size=24, site=122, thread=1283928880)
t647: free(id=312116338, size=24, site=122, thread=1283928880)
t648: alloc(id=453211571, size=24, site=122, thread=1283928880)
t652: free(id=453211571, size=24, site=122, thread=1283928880)
t653: alloc(id=796684896, size=24, site=122, thread=1283928880)
t657: free(id=796684896, size=24, site=122, thread=1283928880)
t658: alloc(id=757108857, size=24, site=122, thread=1283928880)
t662: free(id=757108857, size=24, site=122, thread=1283928880)
t663: alloc(id=1809787067, size=24, site=122, thread=1283928880)
t667: free(id=1809787067, size=24, site=122, thread=1283928880)
t668: alloc(id=1802598046, size=24, site=122, thread=1283928880)
t672: free(id=1802598046, size=24, site=122, thread=1283928880)
t673: alloc(id=659748578, size=24, site=122, thread=1283928880)
t677: free(id=659748578, size=24, site=122, thread=1283928880)
t678: alloc(id=240650537, size=24, site=122, thread=1283928880)
t682: free(id=240650537, size=24, site=122, thread=1283928880)
t683: alloc(id=483422889, size=24, site=122, thread=1283928880)
t687: free(id=483422889, size=24, site=122, thread=1283928880)
t688: alloc(id=2088051243, size=24, site=122, thread=1283928880)
t692: free(id=2088051243, size=24, site=122, thread=1283928880)
t693: alloc(id=1277181601, size=24, site=122, thread=1283928880)
t697: free(id=1277181601, size=24, site=122, thread=1283928880)
t698: alloc(id=41903949, size=24, site=122, thread=1283928880)
t702: free(id=41903949, size=24, site=122, thread=1283928880)
t703: alloc(id=488970385, size=24, site=122, thread=1283928880)
t707: free(id=488970385, size=24, site=122, thread=1283928880)
t708: alloc(id=1209271652, size=24, site=122, thread=1283928880)
t712: free(id=1209271652, size=24, site=122, thread=1283928880)
t713: alloc(id=93122545, size=24, site=122, thread=1283928880)
t717: free(id=93122545, size=24, site=122, thread=1283928880)
t718: alloc(id=2083562754, size=24, site=122, thread=1283928880)
t722: free(id=2083562754, size=24, site=122, thread=1283928880)
t723: alloc(id=1239731077, size=24, site=122, thread=1283928880)
t727: free(id=1239731077, size=24, site=122, thread=1283928880)
t728: alloc(id=557041912, size=24, site=122, thread=1283928880)
t732: free(id=557041912, size=24, site=122, thread=1283928880)
t733: alloc(id=1134712904, size=24, site=122, thread=1283928880)
t737: free(id=1134712904, size=24, site=122, thread=1283928880)
t738: alloc(id=985922955, size=24, site=122, thread=1283928880)
t742: free(id=985922955, size=24, site=122, thread=1283928880)
t743: alloc(id=1435804085, size=24, site=122, thread=1283928880)
t747: free(id=1435804085, size=24, site=122, thread=1283928880)
t748: alloc(id=1784662007, size=24, site=122, thread=1283928880)
t752: free(id=1784662007, size=24, site=122, thread=1283928880)
t753: alloc(id=997110508, size=24, site=122, thread=1283928880)
t757: free(id=997110508, size=24, site=122, thread=1283928880)
t758: alloc(id=509886383, size=24, site=122, thread=1283928880)
t762: free(id=509886383, size=24, site=122, thread=1283928880)
t763: alloc(id=1854778591, size=24, site=122, thread=1283928880)
t767: free(id=1854778591, size=24, site=122, thread=1283928880)
t768: alloc(id=2054798982, size=24, site=122, thread=1283928880)
t772: free(id=2054798982, size=24, site=122, thread=1283928880)
t773: alloc(id=885951223, size=24, site=122, thread=1283928880)
t777: free(id=885951223, size=24, site=122, thread=1283928880)
t778: alloc(id=191382150, size=24, site=122, thread=1283928880)
t782: free(id=191382150, size=24, site=122, thread=1283928880)
t783: alloc(id=142666848, size=24, site=122, thread=1283928880)
t787: free(id=142666848, size=24, site=122, thread=1283928880)
t788: alloc(id=1060830840, size=24, site=122, thread=1283928880)
t792: free(id=1060830840, size=24, site=122, thread=1283928880)
t793: alloc(id=2137211482, size=24, site=122, thread=1283928880)
t797: free(id=2137211482, size=24, site=122, thread=1283928880)
t798: alloc(id=920011586, size=24, site=122, thread=1283928880)
t802: free(id=920011586, size=24, site=122, thread=1283928880)
t803: alloc(id=968514068, size=24, site=122, thread=1283928880)
t807: free(id=968514068, size=24, site=122, thread=1283928880)
t808: alloc(id=1360767589, size=24, site=122, thread=1283928880)
t812: free(id=1360767589, size=24, site=122, thread=1283928880)
t813: alloc(id=873415566, size=24, site=122, thread=1283928880)
t817: free(id=873415566, size=24, site=122, thread=1283928880)
t818: alloc(id=818403870, size=24, site=122, thread=1283928880)
t822: free(id=818403870, size=24, site=122, thread=1283928880)
t823: alloc(id=1531333864, size=24, site=122, thread=1283928880)
t827: free(id=1531333864, size=24, site=122, thread=1283928880)
t828: alloc(id=1468177767, size=24, site=122, thread=1283928880)
t832: free(id=1468177767, size=24, site=122, thread=1283928880)
t833: alloc(id=434091818, size=24, site=122, thread=1283928880)
t837: free(id=434091818, size=24, site=122, thread=1283928880)
t838: alloc(id=398887205, size=24, site=122, thread=1283928880)
t842: free(id=398887205, size=24, site=122, thread=1283928880)
t843: alloc(id=2114889273, size=24, site=122, thread=1283928880)
t847: free(id=2114889273, size=24, site=122, thread=1283928880)
t848: alloc(id=1025799482, size=24, site=122, thread=1283928880)
t852: free(id=1025799482, size=24, site=122, thread=1283928880)
t853: alloc(id=1504109395, size=24, site=122, thread=1283928880)
t857: free(id=1504109395, size=24, site=122, thread=1283928880)
t858: alloc(id=2047526627, size=24, site=122, thread=1283928880)
t862: free(id=2047526627, size=24, site=122, thread=1283928880)
t863: alloc(id=1908316405, size=24, site=122, thread=1283928880)
t867: free(id=1908316405, size=24, site=122, thread=1283928880)
t868: alloc(id=1873653341, size=24, site=122, thread=1283928880)
t872: free(id=1873653341, size=24, site=122, thread=1283928880)
t873: alloc(id=25126016, size=24, site=122, thread=1283928880)
t877: free(id=25126016, size=24, site=122, thread=1283928880)
t878: alloc(id=762218386, size=24, site=122, thread=1283928880)
t882: free(id=762218386, size=24, site=122, thread=1283928880)
t883: alloc(id=672320506, size=24, site=122, thread=1283928880)
t887: free(id=672320506, size=24, site=122, thread=1283928880)
t888: alloc(id=718231523, size=24, site=122, thread=1283928880)
t892: free(id=718231523, size=24, site=122, thread=1283928880)
t893: alloc(id=1349414238, size=24, site=122, thread=1283928880)
t897: free(id=1349414238, size=24, site=122, thread=1283928880)
